review_id,user_id,technician_id,rating_value,review_text,created_at,device_id,ip_address,service_status
105,104,18,4,"This was a very professional service, thank you!",2026-04-09 14:00:00,DEV-8695,192.168.1.104,completed
106,176,17,3,"This was a very professional service, thank you!",2026-04-01 17:00:00,DEV-4655,192.168.1.54,completed
107,127,14,5,Good,2026-04-09 04:00:00,DEV-FRAUD,192.168.1.196,pending
108,190,19,2,"This was a very professional service, thank you!",2026-04-04 18:00:00,DEV-3321,192.168.1.146,completed
109,142,15,5,"This was a very professional service, thank you!",2026-04-09 14:00:00,DEV-4691,192.168.1.85,completed
110,148,16,1,"This was a very professional service, thank you!",2026-04-01 14:00:00,DEV-3749,192.168.1.204,completed
111,122,12,5,Good,2026-04-08 04:00:00,DEV-FRAUD,192.168.1.227,pending
112,164,18,5,Good,2026-04-03 02:00:00,DEV-FRAUD,192.168.1.81,completed
113,142,13,1,"This was a very professional service, thank you!",2026-04-06 18:00:00,DEV-7346,192.168.1.214,completed
114,133,19,2,"This was a very professional service, thank you!",2026-04-02 19:00:00,DEV-7239,192.168.1.140,completed
115,151,18,3,"This was a very professional service, thank you!",2026-04-07 19:00:00,DEV-3133,192.168.1.55,completed
116,126,15,5,Good,2026-04-02 01:00:00,DEV-FRAUD,192.168.1.7,completed
117,200,15,5,Good,2026-04-06 02:00:00,DEV-FRAUD,192.168.1.137,pending
118,133,18,1,"This was a very professional service, thank you!",2026-04-06 13:00:00,DEV-2277,192.168.1.87,completed
119,108,15,4,"This was a very professional service, thank you!",2026-04-07 19:00:00,DEV-8517,192.168.1.178,completed
120,101,16,2,"This was a very professional service, thank you!",2026-04-03 09:00:00,DEV-5098,192.168.1.27,completed
121,146,11,5,"This was a very professional service, thank you!",2026-04-04 16:00:00,DEV-2767,192.168.1.197,completed
122,155,20,5,"This was a very professional service, thank you!",2026-04-05 19:00:00,DEV-4017,192.168.1.7,completed
123,128,11,3,"This was a very professional service, thank you!",2026-04-09 20:00:00,DEV-1941,192.168.1.178,completed
124,126,18,2,"This was a very professional service, thank you!",2026-04-10 11:00:00,DEV-3002,192.168.1.69,completed
125,143,10,2,"This was a very professional service, thank you!",2026-04-11 13:00:00,DEV-1596,192.168.1.11,completed
126,197,15,5,"This was a very professional service, thank you!",2026-04-06 14:00:00,DEV-5443,192.168.1.69,completed
127,158,12,4,"This was a very professional service, thank you!",2026-04-07 18:00:00,DEV-7165,192.168.1.79,completed
128,167,19,1,"This was a very professional service, thank you!",2026-04-11 13:00:00,DEV-2467,192.168.1.229,completed
129,138,10,2,"This was a very professional service, thank you!",2026-04-04 12:00:00,DEV-5118,192.168.1.31,completed
130,139,10,3,"This was a very professional service, thank you!",2026-04-04 11:00:00,DEV-7207,192.168.1.26,completed
131,110,12,3,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-8585,192.168.1.90,completed
132,182,20,3,"This was a very professional service, thank you!",2026-04-11 10:00:00,DEV-8055,192.168.1.79,completed
133,173,10,3,"This was a very professional service, thank you!",2026-04-07 13:00:00,DEV-7867,192.168.1.149,completed
134,177,18,4,"This was a very professional service, thank you!",2026-04-10 13:00:00,DEV-6816,192.168.1.172,completed
135,130,16,3,"This was a very professional service, thank you!",2026-04-05 09:00:00,DEV-5336,192.168.1.235,completed
136,170,18,4,"This was a very professional service, thank you!",2026-04-05 20:00:00,DEV-7036,192.168.1.60,completed
137,114,17,1,"This was a very professional service, thank you!",2026-04-10 18:00:00,DEV-3697,192.168.1.179,completed
138,158,11,4,"This was a very professional service, thank you!",2026-04-10 20:00:00,DEV-3987,192.168.1.160,completed
139,199,14,4,"This was a very professional service, thank you!",2026-04-01 12:00:00,DEV-6147,192.168.1.52,completed
140,137,13,2,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-2005,192.168.1.191,completed
141,184,19,3,"This was a very professional service, thank you!",2026-04-09 16:00:00,DEV-8748,192.168.1.4,completed
142,108,10,4,"This was a very professional service, thank you!",2026-04-09 15:00:00,DEV-1894,192.168.1.111,completed
143,162,18,2,"This was a very professional service, thank you!",2026-04-09 18:00:00,DEV-6420,192.168.1.117,completed
144,189,17,5,"This was a very professional service, thank you!",2026-04-08 12:00:00,DEV-2474,192.168.1.215,completed
145,170,17,5,"This was a very professional service, thank you!",2026-04-02 19:00:00,DEV-8723,192.168.1.27,completed
146,186,20,5,Good,2026-04-03 01:00:00,DEV-FRAUD,192.168.1.212,completed
147,175,14,5,Good,2026-04-06 05:00:00,DEV-FRAUD,192.168.1.44,pending
148,190,19,5,"This was a very professional service, thank you!",2026-04-06 18:00:00,DEV-1802,192.168.1.202,completed
149,107,10,1,"This was a very professional service, thank you!",2026-04-06 20:00:00,DEV-3521,192.168.1.138,completed
150,178,14,4,"This was a very professional service, thank you!",2026-04-05 16:00:00,DEV-8886,192.168.1.94,completed
151,115,14,3,"This was a very professional service, thank you!",2026-04-09 12:00:00,DEV-2802,192.168.1.168,completed
152,101,15,4,"This was a very professional service, thank you!",2026-04-01 16:00:00,DEV-2320,192.168.1.211,completed
153,173,14,3,"This was a very professional service, thank you!",2026-04-04 14:00:00,DEV-8762,192.168.1.213,completed
154,103,19,3,"This was a very professional service, thank you!",2026-04-06 19:00:00,DEV-6525,192.168.1.118,completed
155,142,17,1,"This was a very professional service, thank you!",2026-04-02 20:00:00,DEV-2845,192.168.1.102,completed
156,188,15,4,"This was a very professional service, thank you!",2026-04-04 16:00:00,DEV-2951,192.168.1.35,completed
157,124,10,1,"This was a very professional service, thank you!",2026-04-08 16:00:00,DEV-1396,192.168.1.196,completed
158,147,15,4,"This was a very professional service, thank you!",2026-04-08 16:00:00,DEV-2674,192.168.1.45,completed
159,106,12,5,"This was a very professional service, thank you!",2026-04-01 16:00:00,DEV-7701,192.168.1.85,completed
160,128,18,4,"This was a very professional service, thank you!",2026-04-06 18:00:00,DEV-2855,192.168.1.92,completed
161,144,18,2,"This was a very professional service, thank you!",2026-04-06 19:00:00,DEV-5050,192.168.1.13,completed
162,180,13,2,"This was a very professional service, thank you!",2026-04-02 20:00:00,DEV-5136,192.168.1.128,completed
163,172,20,5,Good,2026-04-09 03:00:00,DEV-FRAUD,192.168.1.230,completed
164,166,17,1,"This was a very professional service, thank you!",2026-04-05 17:00:00,DEV-3072,192.168.1.51,completed
165,152,11,3,"This was a very professional service, thank you!",2026-04-05 12:00:00,DEV-6180,192.168.1.186,completed
166,177,15,4,"This was a very professional service, thank you!",2026-04-08 10:00:00,DEV-1225,192.168.1.45,completed
167,144,12,3,"This was a very professional service, thank you!",2026-04-03 19:00:00,DEV-6063,192.168.1.98,completed
168,200,10,5,Good,2026-04-07 03:00:00,DEV-FRAUD,192.168.1.50,pending
169,181,10,4,"This was a very professional service, thank you!",2026-04-11 11:00:00,DEV-5997,192.168.1.199,completed
170,150,20,5,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-3086,192.168.1.235,completed
171,127,10,2,"This was a very professional service, thank you!",2026-04-07 15:00:00,DEV-4697,192.168.1.211,completed
172,185,11,1,"This was a very professional service, thank you!",2026-04-08 19:00:00,DEV-5366,192.168.1.174,completed
173,121,10,4,"This was a very professional service, thank you!",2026-04-03 14:00:00,DEV-7369,192.168.1.156,completed
174,165,13,2,"This was a very professional service, thank you!",2026-04-02 18:00:00,DEV-1761,192.168.1.15,completed
175,134,13,3,"This was a very professional service, thank you!",2026-04-03 13:00:00,DEV-6015,192.168.1.139,completed
176,176,18,1,"This was a very professional service, thank you!",2026-04-02 20:00:00,DEV-4530,192.168.1.33,completed
177,176,12,3,"This was a very professional service, thank you!",2026-04-02 14:00:00,DEV-5268,192.168.1.224,completed
178,162,13,5,Good,2026-04-07 02:00:00,DEV-FRAUD,192.168.1.184,pending
179,115,15,2,"This was a very professional service, thank you!",2026-04-01 11:00:00,DEV-4906,192.168.1.28,completed
180,185,18,4,"This was a very professional service, thank you!",2026-04-07 18:00:00,DEV-8556,192.168.1.104,completed
181,126,16,1,"This was a very professional service, thank you!",2026-04-01 20:00:00,DEV-4914,192.168.1.66,completed
182,141,14,3,"This was a very professional service, thank you!",2026-04-03 09:00:00,DEV-8787,192.168.1.171,completed
183,154,11,5,"This was a very professional service, thank you!",2026-04-08 10:00:00,DEV-4613,192.168.1.219,completed
184,101,18,2,"This was a very professional service, thank you!",2026-04-05 19:00:00,DEV-1247,192.168.1.182,completed
185,136,13,2,"This was a very professional service, thank you!",2026-04-10 19:00:00,DEV-2334,192.168.1.156,completed
186,184,14,5,Good,2026-04-07 01:00:00,DEV-FRAUD,192.168.1.143,pending
187,148,20,4,"This was a very professional service, thank you!",2026-04-01 11:00:00,DEV-2025,192.168.1.192,completed
188,125,11,5,Good,2026-04-01 02:00:00,DEV-FRAUD,192.168.1.41,completed
189,182,11,3,"This was a very professional service, thank you!",2026-04-11 08:00:00,DEV-4177,192.168.1.93,completed
190,127,13,2,"This was a very professional service, thank you!",2026-04-05 11:00:00,DEV-5393,192.168.1.33,completed
191,112,17,4,"This was a very professional service, thank you!",2026-04-07 11:00:00,DEV-4635,192.168.1.169,completed
192,173,15,3,"This was a very professional service, thank you!",2026-04-10 18:00:00,DEV-3402,192.168.1.166,completed
193,127,10,3,"This was a very professional service, thank you!",2026-04-02 15:00:00,DEV-5590,192.168.1.239,completed
194,135,13,2,"This was a very professional service, thank you!",2026-04-07 10:00:00,DEV-5837,192.168.1.215,completed
195,188,12,4,"This was a very professional service, thank you!",2026-04-09 19:00:00,DEV-4748,192.168.1.175,completed
196,181,20,1,"This was a very professional service, thank you!",2026-04-04 20:00:00,DEV-4146,192.168.1.9,completed
197,127,11,3,"This was a very professional service, thank you!",2026-04-02 14:00:00,DEV-7791,192.168.1.251,completed
198,146,12,1,"This was a very professional service, thank you!",2026-04-02 17:00:00,DEV-3100,192.168.1.116,completed
199,153,10,3,"This was a very professional service, thank you!",2026-04-02 08:00:00,DEV-2164,192.168.1.104,completed
200,115,19,4,"This was a very professional service, thank you!",2026-04-07 16:00:00,DEV-1674,192.168.1.124,completed
201,164,16,5,"This was a very professional service, thank you!",2026-04-02 15:00:00,DEV-6231,192.168.1.113,completed
202,144,14,3,"This was a very professional service, thank you!",2026-04-08 18:00:00,DEV-4134,192.168.1.89,completed
203,168,17,5,Good,2026-04-04 03:00:00,DEV-FRAUD,192.168.1.72,completed
204,196,16,5,"This was a very professional service, thank you!",2026-04-11 12:00:00,DEV-6406,192.168.1.85,completed
205,102,15,2,"This was a very professional service, thank you!",2026-04-01 16:00:00,DEV-4901,192.168.1.33,completed
206,185,16,4,"This was a very professional service, thank you!",2026-04-07 12:00:00,DEV-7401,192.168.1.48,completed
207,148,18,5,"This was a very professional service, thank you!",2026-04-11 19:00:00,DEV-5100,192.168.1.128,completed
208,128,12,2,"This was a very professional service, thank you!",2026-04-01 09:00:00,DEV-4402,192.168.1.42,completed
209,168,13,5,"This was a very professional service, thank you!",2026-04-03 15:00:00,DEV-5502,192.168.1.173,completed
210,190,12,5,Good,2026-04-06 04:00:00,DEV-FRAUD,192.168.1.138,completed
211,173,20,2,"This was a very professional service, thank you!",2026-04-06 08:00:00,DEV-1351,192.168.1.204,completed
212,113,12,2,"This was a very professional service, thank you!",2026-04-04 13:00:00,DEV-5571,192.168.1.28,completed
213,159,17,1,"This was a very professional service, thank you!",2026-04-09 12:00:00,DEV-1588,192.168.1.194,completed
214,110,10,4,"This was a very professional service, thank you!",2026-04-10 20:00:00,DEV-6429,192.168.1.253,completed
215,155,16,4,"This was a very professional service, thank you!",2026-04-04 20:00:00,DEV-8600,192.168.1.18,completed
216,196,18,5,"This was a very professional service, thank you!",2026-04-01 09:00:00,DEV-1077,192.168.1.8,completed
217,127,20,4,"This was a very professional service, thank you!",2026-04-01 11:00:00,DEV-2151,192.168.1.91,completed
218,127,11,2,"This was a very professional service, thank you!",2026-04-04 18:00:00,DEV-8909,192.168.1.140,completed
219,100,17,1,"This was a very professional service, thank you!",2026-04-08 15:00:00,DEV-1757,192.168.1.7,completed
220,149,13,3,"This was a very professional service, thank you!",2026-04-02 10:00:00,DEV-5673,192.168.1.75,completed
221,156,19,3,"This was a very professional service, thank you!",2026-04-02 15:00:00,DEV-5420,192.168.1.179,completed
222,108,10,5,Good,2026-04-08 02:00:00,DEV-FRAUD,192.168.1.71,pending
223,123,18,2,"This was a very professional service, thank you!",2026-04-03 20:00:00,DEV-6010,192.168.1.250,completed
224,182,13,4,"This was a very professional service, thank you!",2026-04-11 11:00:00,DEV-4195,192.168.1.33,completed
225,192,20,1,"This was a very professional service, thank you!",2026-04-05 20:00:00,DEV-1334,192.168.1.20,completed
226,177,19,2,"This was a very professional service, thank you!",2026-04-06 16:00:00,DEV-8844,192.168.1.227,completed
227,192,17,3,"This was a very professional service, thank you!",2026-04-01 17:00:00,DEV-3852,192.168.1.221,completed
228,169,18,4,"This was a very professional service, thank you!",2026-04-09 11:00:00,DEV-3927,192.168.1.74,completed
229,155,16,4,"This was a very professional service, thank you!",2026-04-02 09:00:00,DEV-3599,192.168.1.124,completed
230,163,17,5,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-5190,192.168.1.62,completed
231,165,19,2,"This was a very professional service, thank you!",2026-04-08 11:00:00,DEV-8542,192.168.1.16,completed
232,142,12,2,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-6026,192.168.1.84,completed
233,143,11,5,Good,2026-04-05 05:00:00,DEV-FRAUD,192.168.1.160,pending
234,123,15,3,"This was a very professional service, thank you!",2026-04-11 19:00:00,DEV-2103,192.168.1.129,completed
235,167,15,3,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-6162,192.168.1.71,completed
236,135,16,5,"This was a very professional service, thank you!",2026-04-01 17:00:00,DEV-2507,192.168.1.242,completed
237,152,12,2,"This was a very professional service, thank you!",2026-04-08 14:00:00,DEV-6268,192.168.1.56,completed
238,136,18,1,"This was a very professional service, thank you!",2026-04-06 09:00:00,DEV-3044,192.168.1.52,completed
239,146,15,4,"This was a very professional service, thank you!",2026-04-08 11:00:00,DEV-3717,192.168.1.158,completed
240,101,13,5,"This was a very professional service, thank you!",2026-04-04 09:00:00,DEV-3899,192.168.1.86,completed
241,145,15,4,"This was a very professional service, thank you!",2026-04-05 15:00:00,DEV-5981,192.168.1.118,completed
242,163,11,2,"This was a very professional service, thank you!",2026-04-08 16:00:00,DEV-3100,192.168.1.65,completed
243,121,19,5,Good,2026-04-06 05:00:00,DEV-FRAUD,192.168.1.5,pending
244,151,18,2,"This was a very professional service, thank you!",2026-04-02 09:00:00,DEV-1103,192.168.1.220,completed
245,184,19,1,"This was a very professional service, thank you!",2026-04-01 16:00:00,DEV-3510,192.168.1.139,completed
246,161,18,5,"This was a very professional service, thank you!",2026-04-07 13:00:00,DEV-2041,192.168.1.247,completed
247,147,10,4,"This was a very professional service, thank you!",2026-04-02 13:00:00,DEV-5946,192.168.1.8,completed
248,124,12,1,"This was a very professional service, thank you!",2026-04-02 13:00:00,DEV-5478,192.168.1.17,completed
249,168,10,4,"This was a very professional service, thank you!",2026-04-11 10:00:00,DEV-6731,192.168.1.72,completed
250,145,14,5,"This was a very professional service, thank you!",2026-04-05 08:00:00,DEV-1922,192.168.1.33,completed
251,122,11,1,"This was a very professional service, thank you!",2026-04-05 12:00:00,DEV-8465,192.168.1.136,completed
252,112,15,5,Good,2026-04-07 03:00:00,DEV-FRAUD,192.168.1.252,completed
253,171,20,4,"This was a very professional service, thank you!",2026-04-10 15:00:00,DEV-6816,192.168.1.180,completed
254,154,14,5,"This was a very professional service, thank you!",2026-04-06 12:00:00,DEV-4806,192.168.1.106,completed
255,132,11,4,"This was a very professional service, thank you!",2026-04-05 19:00:00,DEV-5031,192.168.1.223,completed
256,126,13,5,"This was a very professional service, thank you!",2026-04-09 18:00:00,DEV-1147,192.168.1.241,completed
257,145,16,1,"This was a very professional service, thank you!",2026-04-05 11:00:00,DEV-7105,192.168.1.94,completed
258,112,17,3,"This was a very professional service, thank you!",2026-04-05 09:00:00,DEV-8254,192.168.1.248,completed
259,193,12,3,"This was a very professional service, thank you!",2026-04-07 08:00:00,DEV-1446,192.168.1.110,completed
260,117,12,4,"This was a very professional service, thank you!",2026-04-07 17:00:00,DEV-2919,192.168.1.205,completed
261,141,14,5,"This was a very professional service, thank you!",2026-04-03 11:00:00,DEV-2294,192.168.1.179,completed
262,143,12,5,Good,2026-04-06 02:00:00,DEV-FRAUD,192.168.1.180,pending
263,106,16,3,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-1199,192.168.1.105,completed
264,122,11,1,"This was a very professional service, thank you!",2026-04-03 13:00:00,DEV-1916,192.168.1.66,completed
265,200,12,3,"This was a very professional service, thank you!",2026-04-04 15:00:00,DEV-4508,192.168.1.203,completed
266,104,18,1,"This was a very professional service, thank you!",2026-04-09 08:00:00,DEV-1753,192.168.1.162,completed
267,192,16,1,"This was a very professional service, thank you!",2026-04-11 19:00:00,DEV-7652,192.168.1.21,completed
268,146,13,2,"This was a very professional service, thank you!",2026-04-01 09:00:00,DEV-2485,192.168.1.94,completed
269,157,16,1,"This was a very professional service, thank you!",2026-04-08 13:00:00,DEV-1305,192.168.1.91,completed
